"a","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.11135,1,0.80186,0.567,0.567,0
0.11695,1,0.80327,0.568,0.568,0
0.12255,1,0.80469,0.569,0.569,0
0.12815,1,0.8061,0.57,0.57,0
0.12056,1,0.80752,0.571,0.571,0
0.11296,1,0.80893,0.572,0.572,0
0.10536,1,0.81034,0.573,0.573,0
0.097768,1,0.81176,0.574,0.574,0
0.090173,1,0.81317,0.575,0.575,0
0.082577,1,0.81459,0.576,0.576,0
0.074981,1,0.816,0.577,0.577,0
0.067385,1,0.81742,0.578,0.578,0
0.059789,1,0.81883,0.579,0.579,0
0.052193,1,0.82024,0.58,0.58,0
0.047679,1,0.82166,0.581,0.581,0
0.043165,1,0.82307,0.582,0.582,0
0.03865,1,0.82449,0.583,0.583,0
0.034136,1,0.8259,0.584,0.584,0
0.029622,1,0.82731,0.585,0.585,0
0.025108,1,0.82873,0.586,0.586,0
0.020594,1,0.83014,0.587,0.587,0
0.01608,1,0.83156,0.588,0.588,0
0.011566,1,0.83297,0.589,0.589,0
0.0070515,1,0.83439,0.59,0.59,0
0.022056,1,0.8358,0.591,0.591,0
0.03706,1,0.83721,0.592,0.592,0
0.052064,1,0.83863,0.593,0.593,0
0.067068,1,0.84004,0.594,0.594,0
0.082073,1,0.84146,0.595,0.595,0
0.097077,1,0.84287,0.596,0.596,0
0.11208,1,0.84429,0.597,0.597,0
0.12708,1,0.8457,0.598,0.598,0
0.14209,1,0.84711,0.599,0.599,0
0.15709,1,0.84853,0.6,0.6,0
0.15058,1,0.84994,0.601,0.601,0
0.14406,1,0.85136,0.602,0.602,0
0.13754,1,0.85277,0.603,0.603,0
0.13102,1,0.85418,0.604,0.604,0
0.1245,1,0.8556,0.605,0.605,0
0.11799,1,0.85701,0.606,0.606,0
0.11147,1,0.85843,0.607,0.607,0
0.10495,1,0.85984,0.608,0.608,0
0.098432,1,0.86126,0.609,0.609,0
0.091914,1,0.86267,0.61,0.61,0
0.087064,1,0.86408,0.611,0.611,0
0.082214,1,0.8655,0.612,0.612,0
0.077363,1,0.86691,0.613,0.613,0
0.072513,1,0.86833,0.614,0.614,0
0.067663,1,0.86974,0.615,0.615,0
0.062813,1,0.87116,0.616,0.616,0
0.057962,1,0.87257,0.617,0.617,0
0.053112,1,0.87398,0.618,0.618,0
0.048262,1,0.8754,0.619,0.619,0
0.043411,1,0.87681,0.62,0.62,0
0.039776,1,0.87823,0.621,0.621,0
