"arc_length","f_1578","f_1705","f_1834","f_1978","f_1889","f_1881"
0.366281,0.244899,0.244917,0.244922,0.244923,0.246367,0.244928
0.367696,0.246556,0.24659,0.246595,0.246599,0.247339,0.246628
0.36911,0.248212,0.248262,0.248269,0.248274,0.24831,0.248329
0.370524,0.249868,0.249935,0.249943,0.249949,0.249282,0.25003
0.371938,0.251524,0.251608,0.251617,0.251625,0.250253,0.251731
0.373352,0.253181,0.253281,0.25329,0.2533,0.251225,0.253432
0.374767,0.254837,0.254953,0.254964,0.254975,0.252196,0.255133
0.376181,0.256493,0.256626,0.256638,0.256651,0.253168,0.256833
0.377595,0.258149,0.258299,0.258312,0.258326,0.25414,0.258534
0.379009,0.259806,0.259972,0.259985,0.260001,0.255111,0.260235
0.380423,0.261462,0.261645,0.261659,0.261676,0.256083,0.261936
0.381838,0.263118,0.263317,0.263333,0.263352,0.257054,0.263637
0.383252,0.264774,0.26499,0.265006,0.265027,0.258026,0.265338
0.384666,0.26643,0.266663,0.26668,0.266702,0.258997,0.267038
0.38608,0.268087,0.268336,0.268354,0.268378,0.259969,0.268739
0.387495,0.269743,0.270008,0.270028,0.270053,0.26094,0.27044
0.388909,0.271399,0.271681,0.271701,0.271728,0.261912,0.272141
0.390323,0.271545,0.271811,0.271831,0.271856,0.262884,0.272232
0.391737,0.27169,0.271941,0.27196,0.271984,0.263857,0.272324
0.393151,0.271836,0.272071,0.27209,0.272111,0.264829,0.272415
0.394566,0.271982,0.272201,0.272219,0.272239,0.265802,0.272507
0.39598,0.272127,0.27233,0.272348,0.272367,0.266775,0.272598
0.397394,0.272273,0.27246,0.272478,0.272494,0.267747,0.272689
0.398808,0.272418,0.27259,0.272607,0.272622,0.26872,0.272781
0.400222,0.272564,0.27272,0.272737,0.27275,0.269692,0.272872
0.401637,0.27271,0.27285,0.272866,0.272877,0.270665,0.272964
0.403051,0.272855,0.27298,0.272996,0.273005,0.271638,0.273055
0.404465,0.273001,0.27311,0.273125,0.273132,0.27261,0.273147
0.405879,0.273147,0.273239,0.273255,0.27326,0.273583,0.273238
0.407293,0.273292,0.273369,0.273384,0.273388,0.274555,0.273329
0.408708,0.273438,0.273499,0.273513,0.273515,0.275528,0.273421
0.410122,0.273583,0.273629,0.273643,0.273643,0.276501,0.273512
0.411536,0.273729,0.273759,0.273772,0.273771,0.277473,0.273604
0.41295,0.273875,0.273889,0.273902,0.273898,0.278446,0.273695
0.414365,0.27402,0.274019,0.274031,0.274026,0.279419,0.273786
0.415779,0.274166,0.274148,0.274161,0.274154,0.280391,0.273878
0.417193,0.274312,0.274278,0.27429,0.274281,0.281364,0.273969
0.418607,0.274457,0.274408,0.274419,0.274409,0.282336,0.274061
0.420021,0.274603,0.274538,0.274549,0.274536,0.283309,0.274152
0.421436,0.274748,0.274668,0.274678,0.274664,0.284282,0.274244
0.42285,0.274894,0.274798,0.274808,0.274792,0.285254,0.274335
0.424264,0.27504,0.274927,0.274937,0.274919,0.286227,0.274426
0.425678,0.277011,0.276915,0.276924,0.276908,0.2872,0.276468
0.427092,0.278982,0.278902,0.278911,0.278897,0.288174,0.27851
0.428507,0.280953,0.280889,0.280898,0.280886,0.289147,0.280551
0.429921,0.282924,0.282876,0.282885,0.282874,0.290121,0.282593
0.431335,0.284895,0.284863,0.284872,0.284863,0.291094,0.284634
0.432749,0.286866,0.286851,0.286859,0.286852,0.292068,0.286676
0.434164,0.288837,0.288838,0.288846,0.288841,0.293041,0.288717
0.435578,0.290808,0.290825,0.290832,0.29083,0.294015,0.290759
0.436992,0.292778,0.292812,0.292819,0.292818,0.294988,0.2928
0.438406,0.294749,0.294799,0.294806,0.294807,0.295962,0.294842
0.43982,0.29672,0.296786,0.296793,0.296796,0.296935,0.296884
0.441235,0.298691,0.298774,0.29878,0.298785,0.297909,0.298925
